CITY,DISTANCE,HOTEL,IMAGE LINK,LOCATION,PRICE,RATING,WEBSITE LINK,family_friendly,luxury,parking,pool,wifi
Bangalore,100 m from centre,Locul Central - Church Street,https://cf.bstatic.com/xdata/images/hotel/square240/261655733.webp?k=7dddf25289a28e93f3a36c03335f1973d13472b1658259574fce55817ce6d347&o=,Bangalore Shopping Area,5100,8.2,https://www.booking.com/hotel/in/locul-central.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9061826%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&dest_id=-2090174&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=45f63717770109cf&srepoch=1780473053&from=searchresults,1,Mid-range,1,0,1
Bangalore,2.8 km from centre,Hotel Sigma Suites,https://cf.bstatic.com/xdata/images/hotel/square240/388914244.webp?k=144762c5ab8d97234323e8f3bdc7e37fc270a319cad555631e8bcc1a1290f477&o=,"Gandhi nagar, Bengaluru",7900,7.7,https://www.booking.com/hotel/in/sigma-suites.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9061826%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&dest_id=-2090174&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=45f63717770109cf&srepoch=1780473053&from=searchresults,1,Mid-range,0,0,1
Bangalore,7.9 km from centre,Hotel Sing 65,https://cf.bstatic.com/xdata/images/hotel/square240/624048872.webp?k=cd8e99d21dbaeac9812358419cf9a0584bfd2d6f05baf135d2103ac0e1cee1ef&o=,"Yeshwantpur, Bengaluru (Yeshwantpur)",8500,7.4,https://www.booking.com/hotel/in/sing-65.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9061826%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&dest_id=-2090174&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=45f63717770109cf&srepoch=1780473053&from=searchresults,1,Mid-range,1,0,0
Bangalore,2.6 km from centre,Holiday Inn Bengaluru Racecourse by IHG,https://cf.bstatic.com/xdata/images/hotel/square240/251221932.webp?k=412572d537f52651e4848a013b1c43fc6b2233d0301b295a615e272c69b733c2&o=,"Gandhi nagar, Bengaluru",3200,8.7,https://www.booking.com/hotel/in/holiday-inn-express-suites-bengaluru-racecourse.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9061826%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&dest_id=-2090174&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=45f63717770109cf&srepoch=1780473053&from=searchresults,1,Budget,1,0,1
Bangalore,3.6 km from centre,The Porch Inn Hotel & Service Apartments Near Nimhans Hospital,https://cf.bstatic.com/xdata/images/hotel/square240/232671538.webp?k=25895e03cba0ca5a7160b56e12aa1a7b81a8337052ce7cb158ace573c94580c9&o=,Bengaluru,4600,8.5,https://www.booking.com/hotel/in/the-porch-inn-amp-service-apartment.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9061826%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&dest_id=-2090174&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=45f63717770109cf&srepoch=1780473053&from=searchresults,1,Mid-range,1,0,1
Bangalore,2.6 km from centre,Goldfinch Hotel Bangalore,https://cf.bstatic.com/xdata/images/hotel/square240/173377462.webp?k=4f4de3b537706da3558fe29116e2812c98d87a0ca79fca48e5806acec872cc12&o=,"Gandhi nagar, Bengaluru",4000,7.4,https://www.booking.com/hotel/in/goldfinch-bangalore.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9061826%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&dest_id=-2090174&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=45f63717770109cf&srepoch=1780473053&from=searchresults,1,Budget,1,0,1
Bangalore,3 km from centre,Townhouse Oak Halsuru Metro Station Bangalore,https://cf.bstatic.com/xdata/images/hotel/square240/703485453.webp?k=26b2f288332cd89aa57e243f873dcab011c3b00254f118d952b4e64e68a22f07&o=,"Indiranagar, Bengaluru",4700,6.6,https://www.booking.com/hotel/in/o-ulsoor.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9061826%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&dest_id=-2090174&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=45f63717770109cf&srepoch=1780473053&from=searchresults,1,Mid-range,1,1,1
Bangalore,1.2 km from centre,"The Elanza Hotel, Bangalore",https://cf.bstatic.com/xdata/images/hotel/square240/93125856.webp?k=6b96b165cfc9a0c50d7d407699861ea28957032d1928aee1ea4ebc87ae4ad8b2&o=,Bengaluru,5900,7.6,https://www.booking.com/hotel/in/the-elanza-bangalore.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9061826%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&dest_id=-2090174&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=45f63717770109cf&srepoch=1780473053&from=searchresults,0,Mid-range,0,0,0
Bangalore,4.8 km from centre,Treebo Comfy Business,https://cf.bstatic.com/xdata/images/hotel/square240/754790160.webp?k=50f79862e95efd97f97096d2134abebf8395445c8799a439f6f87d49735c9a41&o=,"Koramangala, Bengaluru",4100,7.6,https://www.booking.com/hotel/in/comfy-business.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9061826%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&dest_id=-2090174&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=45f63717770109cf&srepoch=1780473053&from=searchresults,0,Mid-range,1,0,1
Bangalore,7.6 km from centre,M S Comforts,https://cf.bstatic.com/xdata/images/hotel/square240/600051931.webp?k=9acbabfc02d7e3b2106949ca64771c98f8c4a2c4bcfcc0ca18338e5d830de10e&o=,Bengaluru,3800,7.9,https://www.booking.com/hotel/in/mscomforts.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9061826%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&dest_id=-2090174&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=45f63717770109cf&srepoch=1780473053&from=searchresults,1,Budget,1,0,1
